page_id,photo_id,side,register,cropped,src,kept_pct
p079,p079,single,X 18 (1570-79),processed/cropped/x-18-1570-79/p079.jpg,raw/Archivio diocesano/X 18 (1570-79)/IMG20260522102545.jpg,86.5
p080,p080,single,X 18 (1570-79),processed/cropped/x-18-1570-79/p080.jpg,raw/Archivio diocesano/X 18 (1570-79)/IMG20260522102610.jpg,79.3
p081,p081,single,X 18 (1570-79),processed/cropped/x-18-1570-79/p081.jpg,raw/Archivio diocesano/X 18 (1570-79)/IMG20260522102616.jpg,90.7
p082,p082,single,X 18 (1570-79),processed/cropped/x-18-1570-79/p082.jpg,raw/Archivio diocesano/X 18 (1570-79)/IMG20260522102630.jpg,83.3
p083,p083,single,X 18 (1570-79),processed/cropped/x-18-1570-79/p083.jpg,raw/Archivio diocesano/X 18 (1570-79)/IMG20260522102635.jpg,73.6
p084,p084,single,X 18 (1570-79),processed/cropped/x-18-1570-79/p084.jpg,raw/Archivio diocesano/X 18 (1570-79)/IMG20260522102643.jpg,76.1
p085,p085,single,X 18 (1570-79),processed/cropped/x-18-1570-79/p085.jpg,raw/Archivio diocesano/X 18 (1570-79)/IMG20260522102651.jpg,56.6
p086,p086,single,X 18 (1570-79),processed/cropped/x-18-1570-79/p086.jpg,raw/Archivio diocesano/X 18 (1570-79)/IMG20260522102701.jpg,82.4
p087,p087,single,X 18 (1570-79),processed/cropped/x-18-1570-79/p087.jpg,raw/Archivio diocesano/X 18 (1570-79)/IMG20260522102708.jpg,69.4
p088,p088,single,X 18 (1570-79),processed/cropped/x-18-1570-79/p088.jpg,raw/Archivio diocesano/X 18 (1570-79)/IMG20260522102715.jpg,81.9
p089,p089,single,X 18 (1570-79),processed/cropped/x-18-1570-79/p089.jpg,raw/Archivio diocesano/X 18 (1570-79)/IMG20260522102723.jpg,55.6
p090,p090,single,X 18 (1570-79),processed/cropped/x-18-1570-79/p090.jpg,raw/Archivio diocesano/X 18 (1570-79)/IMG20260522102733.jpg,78.0
p091,p091,single,X 18 (1570-79),processed/cropped/x-18-1570-79/p091.jpg,raw/Archivio diocesano/X 18 (1570-79)/IMG20260522102739.jpg,81.2
p092,p092,single,X 18 (1570-79),processed/cropped/x-18-1570-79/p092.jpg,raw/Archivio diocesano/X 18 (1570-79)/IMG20260522102747.jpg,81.9
p093,p093,single,X 18 (1570-79),processed/cropped/x-18-1570-79/p093.jpg,raw/Archivio diocesano/X 18 (1570-79)/IMG20260522102753.jpg,56.9
p094,p094,single,X 18 (1570-79),processed/cropped/x-18-1570-79/p094.jpg,raw/Archivio diocesano/X 18 (1570-79)/IMG20260522102800.jpg,66.7
p095,p095,single,X 18 (1570-79),processed/cropped/x-18-1570-79/p095.jpg,raw/Archivio diocesano/X 18 (1570-79)/IMG20260522102805.jpg,68.2
p096,p096,single,X 18 (1570-79),processed/cropped/x-18-1570-79/p096.jpg,raw/Archivio diocesano/X 18 (1570-79)/IMG20260522102814.jpg,74.7
p097,p097,single,X 18 (1570-79),processed/cropped/x-18-1570-79/p097.jpg,raw/Archivio diocesano/X 18 (1570-79)/IMG20260522102819.jpg,80.0
p098,p098,single,X 18 (1570-79),processed/cropped/x-18-1570-79/p098.jpg,raw/Archivio diocesano/X 18 (1570-79)/IMG20260522102828.jpg,84.6
p099,p099,single,X 18 (1570-79),processed/cropped/x-18-1570-79/p099.jpg,raw/Archivio diocesano/X 18 (1570-79)/IMG20260522102833.jpg,81.0
p100,p100,single,X 18 (1570-79),processed/cropped/x-18-1570-79/p100.jpg,raw/Archivio diocesano/X 18 (1570-79)/IMG20260522102844.jpg,91.8
p101,p101,single,X 18 (1570-79),processed/cropped/x-18-1570-79/p101.jpg,raw/Archivio diocesano/X 18 (1570-79)/IMG20260522102849.jpg,69.4
p102,p102,single,X 18 (1570-79),processed/cropped/x-18-1570-79/p102.jpg,raw/Archivio diocesano/X 18 (1570-79)/IMG20260522102857.jpg,87.1
p103,p103,single,X 18 (1570-79),processed/cropped/x-18-1570-79/p103.jpg,raw/Archivio diocesano/X 18 (1570-79)/IMG20260522102902.jpg,69.8
p104,p104,single,X 18 (1570-79),processed/cropped/x-18-1570-79/p104.jpg,raw/Archivio diocesano/X 18 (1570-79)/IMG20260522102928.jpg,70.3
p105,p105,single,X 18 (1570-79),processed/cropped/x-18-1570-79/p105.jpg,raw/Archivio diocesano/X 18 (1570-79)/IMG20260522102933.jpg,64.2
p106,p106,single,X 18 (1570-79),processed/cropped/x-18-1570-79/p106.jpg,raw/Archivio diocesano/X 18 (1570-79)/IMG20260522102940.jpg,74.5
p107,p107,single,X 18 (1570-79),processed/cropped/x-18-1570-79/p107.jpg,raw/Archivio diocesano/X 18 (1570-79)/IMG20260522102946.jpg,61.3
p108,p108,single,X 18 (1570-79),processed/cropped/x-18-1570-79/p108.jpg,raw/Archivio diocesano/X 18 (1570-79)/IMG20260522102953.jpg,78.1
p109,p109,single,X 18 (1570-79),processed/cropped/x-18-1570-79/p109.jpg,raw/Archivio diocesano/X 18 (1570-79)/IMG20260522102958.jpg,58.6
p110,p110,single,X 18 (1570-79),processed/cropped/x-18-1570-79/p110.jpg,raw/Archivio diocesano/X 18 (1570-79)/IMG20260522103008.jpg,83.7
p111,p111,single,X 18 (1570-79),processed/cropped/x-18-1570-79/p111.jpg,raw/Archivio diocesano/X 18 (1570-79)/IMG20260522103013.jpg,53.7
p112,p112,single,X 18 (1570-79),processed/cropped/x-18-1570-79/p112.jpg,raw/Archivio diocesano/X 18 (1570-79)/IMG20260522103020.jpg,67.4
p113,p113,single,X 18 (1570-79),processed/cropped/x-18-1570-79/p113.jpg,raw/Archivio diocesano/X 18 (1570-79)/IMG20260522103025.jpg,49.0
